"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.296171010E-1,9.810572863E-2,1.555334777E-1,9.806086540E0,9.807810593E0
3.320240810E-1,8.614161611E-2,1.268195957E-1,9.796515465E0,9.797714981E0
3.344310600E-1,8.853443712E-2,1.387837082E-1,9.791728973E0,9.793112659E0
3.368380390E-1,9.571290761E-2,1.531406492E-1,9.794121742E0,9.795786529E0
3.392450180E-1,9.571290761E-2,1.555334777E-1,9.796515465E0,9.798217536E0
3.416519970E-1,1.004985496E-1,1.579262912E-1,9.796515465E0,9.798303727E0
3.440589760E-1,9.571290761E-2,1.507478207E-1,9.798908234E0,9.800535110E0
3.464659560E-1,9.810572863E-2,1.603191197E-1,9.789336205E0,9.791140397E0
3.488729350E-1,1.052841991E-1,1.555334777E-1,9.786943436E0,9.788745437E0
3.512799140E-1,1.004985496E-1,1.579262912E-1,9.786943436E0,9.788733446E0
3.536868930E-1,1.028913707E-1,1.603191197E-1,9.798908234E0,9.800759737E0
3.560939240E-1,8.374879509E-2,1.483550072E-1,9.801301003E0,9.802781463E0
3.585009030E-1,9.571290761E-2,1.674975902E-1,9.786943436E0,9.788844580E0
3.609078830E-1,1.004985496E-1,1.674975902E-1,9.786943436E0,9.788892543E0
3.633148620E-1,8.853443712E-2,1.603191197E-1,9.798908234E0,9.800619528E0
3.657218410E-1,8.614161611E-2,1.579262912E-1,9.794121742E0,9.795773670E0
3.681288200E-1,8.614161611E-2,1.387837082E-1,9.796515465E0,9.797877145E0
3.705357990E-1,8.853443712E-2,1.579262912E-1,9.803693771E0,9.805365400E0
3.729427780E-1,8.135596663E-2,1.459621787E-1,9.803693771E0,9.805117812E0
3.753497580E-1,9.571290761E-2,1.435693651E-1,9.801301003E0,9.802819720E0
3.777567370E-1,8.853443712E-2,1.555334777E-1,9.784550667E0,9.786187243E0
3.801637160E-1,9.092725813E-2,1.531406492E-1,9.808479309E0,9.810096135E0
3.825707470E-1,8.853443712E-2,1.555334777E-1,9.820742607E0,9.822373153E0
3.849777260E-1,8.614161611E-2,1.507478207E-1,9.818050385E0,9.819585462E0
